Sentiments,Reviews
positive,The glasses are really cool. I loved it. It's really awesome. The finishing is out of this world and the style and material are really REALLY GOOD.
negative,"Worst quality even after charging for 1hr become power offed after 3,4 second..
Very very disappointed 😡😭"
positive,very good product and very nice
positive,I like this this is so good i love this parcel 📦 thank you 💕 daraz
neutral,Nice headphones with average quality and a good audio. base is also good
negative,very bad experience it didnt worked well I dont recommend to buy this product
neutral,good Quality but rate is very high.not affordable
neutral,Good Stuff Same Product as shown in the picture. Just Zip Quality not good may be changed in future designs Thank you so much
neutral,i rcvd this order but paking is not the same as i already received before ..i m uploading the pics .kindly brief me abt it .is it the same or different ? coz paking and also gels are not same
positive,Excellent quality Mabroom dates and prices are very reasonable. 
negative,Delivered on time . Very bad quality . Cannot hold heavy items . Zippers we’re not good too . Not recommend this . 
negative,Don't Order Smallest Size Damage Piece Money Waste
negative,whooo great prodct
negative,totally poor & pethatic service
positive,Original Playstation seal
positive,Highly Recommended
negative,cheep plastic broken down after 1 month. sound quality is also very bad.
positive,"Very good Mashallah, airpods are very amazing and quality is 👍"
positive,"good product, i am happy"
negative,kafi low light hai
negative,"its quality is cheap,bad experience"
positive,They're cute♥️👍
positive,good product with great discount thank u DARAZ
neutral,Fabric Quality is not good and lastic quality is loose. but in this price its ok
negative,Its not my size I’m gonna return it
negative,Not satisfied. one side of earbud is not working
positive,Its too good comfortable in this price range size is perfect good seller packging pr kaam karain thora baqi product achi hay 
positive,Thanks daraz bhhhhht hee piyary watch I h jazakiallah Mene 4 order liye h aur 4 hee bht ashi I h
positive,good product same as in pics
neutral,so helpful 
neutral,Quality and company is okay
negative,As per quality price is high. packing not satisfactory.
positive,Best one! Although it got late
neutral,It was just good not a high quality
positive,Excellent band.. I used it for full workout session. did stretched it for 3-4 time than its original length and it didn't snap. Recommended
negative,Extreme bad quality. Extreme light material.  
negative,U send me the wrong item 😡 with no stand
negative,medum ap k earphane ki chanrgen kam hoti hai sarif 30 min
neutral,"Speakers thek hain but jab ap call krty hain to dosry k pass shor jata ha, mean k audio songs k liy to thek hain but calk krny k liy trusted ni hain."
positive,Got the delivery on time and in one go. Thanks.
positive,it's awesome quality was good 
negative,it was damaged
neutral,overall quality was good but i got wrong size just becz of some misundestanding otherwise 100 percent recomended
positive,Good sound quality 
positive,"Good condition and good product
Recomend to buy"
positive,"it was original product and arrived within a few days , good experience with the product and seller"
neutral,Packing was save. Looking good from outside hope it will work from inside as well
positive,good quality with reasonable price
positive,loved them will order more soon
negative,Tasteless product!
positive,Perfect very impressive sound amazing orignal gion thanks daraz and seller
negative,shirt wesi hii thi jese picture main thi....magar kapre ki quality kam thi price kee hissab see .....Value to Money nii tha
neutral,"compass not working properly, but rest of item is seems fine, will use it soon"
positive,bahut acche shoes Hain nice shoes kam price mein bahut acchi chij hai good quality
positive,The product was is very good as per the price tag I am surprised that it has touch controls sound quality and battery time is also very impressive
neutral,the net is good but its quality is not good
positive,"just received my parcel handfree quality is gud 👌 build quality is also great this is my second purchase from this seller highly recommended 
but the sim eject pin is not that one that shows in pitcher.  "
positive,Good product and reasonable 
negative,its totally ruf material. i don't know why draz allowed these type of sellers
positive,"The seller is good and sent the product exactly the same as advertised within the given time. Quality-wise, it awesome and a great deal in this price. It is made of satin silk strachible fabric with fine stiching. Size, color and overall quality are great and seems lasting product, thus, recommend to others."
negative,Its not sticking on skin useless thing
positive,perfect100%original
neutral,"I'll receive my order
It was good 👍
Delivery is faster than I thought "
negative,Cheap quality & costly
negative,"Defective product 
You guys are selling poor quality products to your customers 
One side of the voice is very low and on other side its working properly "
neutral,was good experience. but 1 cheez ka farq tha hum is main kafi alu kharab nikly thy as compare to local market
positive,"Allhamdulliah trusted seller. Anyone can by from this seller. Thx seller. You are a trusted seller.My experience with you was ""Aoswome"" "
positive,Nice quality shoes 👟 in this price.Also delivered on time. Thank you very much for giving me good quality product 💯💕
neutral,"i have ordered XL size thats bigger than me , but thats my own fault , ... overall product quilty is average. . in this price range"
negative,very disappointing...it came broken and oil leaked everywhere...I would like a refund 😡😡😡
positive,quality is good 👍 i am totally satisfied😊
neutral,After 2months it's not working
negative,"they look pretty but not bright enough, the function of twisting and shortening the wire wors but the more u twist the back comes off, overall product is eh...for this price i expected better"
negative,and local peace
positive,Yepp my little czn loved it so much Thanks👍👍
positive,Quality is very good
neutral,it was broken but packing was nice and delivered on time
positive,"100% original. 
I am satisfied."
positive,Needed to use it before submitting a review. so far so good. I have been using it for my exercise routine and I love it. worth all the penny. Thank you so much seller!
positive,Good quality leather.Has so much capacity for cards and cash.Received before due date .
positive,Received my parcel on time. seller was quick and the quality of the belt is actually good for the price.
negative,Ak pair chal rha hai ak pair nhi chal rha hai karab hai 🥺🥺
positive,This is good
positive,"i have recive my parcel it,s really really amazing i love it🤩these bag are very useful👍"
positive,very nice same like as in pictures ...
positive,superb. going to order 1 more soon
neutral,very small in size but good
positive,"got my parcel delivered today. I am pretty satisfied with my purchase cause the product looks exactly like the pic but the pant of the track suit is pretty warm and made of thick material as if it's for winter , other than that it's amazing."
negative,One year old stock
positive,good experience...
negative,first time got the old stock. really disappointed.
negative,2 shirts are local and worst quality and also damaged. other 3 shirts quality are fine... not satisfied from the seller.. not recommended..
positive,"Well, at first I recieved the faulty product and after my review on the product I got a call the next day to make sure what was actually wrong, this actually never happened before that I was given such a great customer service, they told me to send me the new one which I got today and its working just about perfect. Great customer service done by Roon, you guys are amazing, If you could work on your packaging that would be awsome. Thankyou Roon"
neutral,ALL ok but need to use cloth in strecthable cotton instead of regular cotton because trouser means comfort and flexible
positive,good product original  good offer shukriya daraz
positive,getting very good result with this paste!!
positive,best bangles .so pretty
positive,Satisfied with the quality. 
positive,thank u daraz I like tha persal received it on tha time meteial is good 
neutral,Average quality product.
negative,worst seller ! and defected product. Waste of money
positive,i have received this item and its working fine. so far no issues. recommend 
positive,same as shown in picture I recommend all of you to buy 😁😁😁but contains red blue and green light not that blue n pink which is shown in picture but highly recommend it's a good item thanks daraz.
negative,fake saller change watch of colour
negative,it fits a child not even a teenager
positive,bouth acha hai ma na use kiye hai as kye battery timing b achi hai
neutral,"good but not as expected,"
positive,Buht acha ha ❤️ Same as like 
positive,Delivered well within the stipulated time
negative,isme koi itnay colours nahi hai.srf red dark blue and green colour ki light hai. fazul
negative,Dont buy it its totally fake product not working
negative,"Very very poor quality....
Charging b ni ho rhi...
Voice b kharab ho jati h chlty chlty.
Not recommend "
negative,alla things was good but the shoes was broken from back side it was very bad for me and waste for money kindly I request you dont buy form this store thasks
positive,very good quality and authentic piece 
positive,"Nice,💯"
positive,behtreen sound hai recommended 👍
positive,very good Quality sound is very perfect and battery also Buy this brand...
neutral,View angle is good but viewing distant object is difficult.
negative,prefer chewing gum over these for jaw muscles growth/exercise as these are not large and hard/tough enough.
negative,Kese Na Kal Ke H
positive,Thanks daraz  mashallah Bohot axhi chiz hai jasa.  dikhaya weasa he diya 
positive,"very nice product , delivery on time..... recomended 
thanks daraz & seller."
positive,Nice item
negative,"the split AC isn't cooling the room at all, it is 2nd day of installation and same situation, faulty product, also the man who came to install it, seem inexperienced.. overall the experience is bad with the AC and service provided, this needs to be changed. please look into it."
positive,recommended seller same recieved as shown
positive,The quality is very good the delivery was so fast and the products were nicely packed
positive,Good addition to my room.
positive,I'm thankful to Daraz for providing such facility. It is recommended. I ordered and i get what i wanted. thanks daraz
positive,very sensitive mic.
positive,best product received on time
positive,"Good quality same as described, original product in a quite reasonable price, completely satisfied, Thanks seller, going to order more, delivered on time, highly recommended!"
negative,"I ordered for black cap also mentioned in chat but recieved white colour, My kids don't wear this White"
positive,Bhoot acha product ha.  Thanks daraz
positive,good 👍👍
negative,"very fragile packaging, considering they shipped all the way from Karachi to Lahore. Secondly, it took 3 days for water to arrive which should have been same day delivered"
positive,Good Quality stuff. Fresh as claimed.
positive,really awesome product didn't expect it to be this sick looking I love and I highly recommend buying it
positive,fresh received
neutral,very good packajing not sure about quality cuz i have not installed lights yet..i hope it will work properly انشاءاللہ
positive,achi cheiz hay alhamdulillah 
positive,"Such a amazing, lovely and comfortable jogging shoes at a very very  reasonable price."
neutral,good product but not awsome
positive,oommmggggg these lights are love. give really aesthetic vibes. You can control them wd remote. absolutely amazing 🤩. recommended
negative,i oder 5 door draft but 4 are good and 1 is totally fake ..... very disappointed ..... very poor quality
positive,market se Kam price main mile Hain quality bhi bohat achi thi 
positive,"also ordered this handfre & it's also very good in quality & sounds quality was also superb 
recommended 💯"
positive,fresh product
positive,very delicious product
positive,Chopsticks are light weight good.
positive,same as shown🥰🥰🥰
positive,Good product should buy fair price also
negative,jesa picture mein tha bilkul wesa nahi tha fabric or colour dono hi bhot kharab tha
negative,i12 ka order dia mily i7
neutral,Achaa product hai bhtt full convenience chiz se but sond thoraa kam hai but bht achiii chiZ bhejhi hai service bhi fast hai bht❤️❤️❤️
positive,Great 👍
negative,"The end of strip is not working properly, it has not all of colors. Its not even 15ft."
positive,good product 👍........ delivery time good 
neutral,hi packaging was good but how do we paste the light because there is no glue after taking that of and you are suppose to rip the blue part I did but it ended up breaking
positive,product is good and same as shown in the picture..but the price is too high for this thing
positive,"aalo market se Kam price main mile Hain, quality bhi bohat achi thi "
negative,"I am unhappy with delivery service. Seller delivered through tcs. Whem ac arrived in our city, tcs guy call me that i have to pick it from there office. Paid delivery fee to seller but collect personally from tcs office and paid delivery charge to 3rd party again. Product is ok but unhappy with delivery service, i ll give 2 star to seller."
positive,multicolour. .very useful. .like it very much..Recommended
neutral,i ordered mix fruit shampoo and u send me cherry any how thanks
neutral,average ha.. price ke.hisab se theak ha
positive,same as shown in pitcher seller very positive response dlevry on time rider good person
positive,v nice
positive,highly recommended thankx seller thanks daraz 🤗 well packed
negative,"Received box with extensive leakage, this was my first time to order such a grocery, quite disappointed , have initiated return."
positive,Just Love it 🥰🥰🥰
negative,"ek earphone to chal he nahi raha hai or talktime just 2 mints hai full charge karnay k badh bhi , kindly change it"
positive,Good Product in this price range
positive,MashaAllah Daraz is so good. main ne pic me jo cheez dekhi bilqul wesi hi wasool ki. shukria daraz.. :)
positive,"Bluetooth are very nice,sound quality is also too good. Bluetooth are as same as you shown in the picture.Thank you very much."
positive,The product quality is very good and received on time well packed
negative,"I got expired milk, delivered on 6 march with 31 jan expiry date, and my bad luck is i ordered 4 😞"
positive,it's nice product.thank you daraz 💜 recommended
neutral,Came Good but it stopped sticking in like a day or so!
positive,"Edit: i used an app called ""X360ce"" to make the game think that im using xbox gamepad so it works on almost all games!"
positive,"Sab kuch acha hai
lekin mainy order i16 kiya tha aor aya i12 hai"
positive,well done seller.
positive,Amazing product. Colors schemeus awesome
positive,Water bottles came in a secure package and where of good quality.
negative,Don't buy anyone please it's a wastage
positive,Affordable best earphones i ever seen
negative,kharab dya tha pura phatat hua tha very disappointed
positive,Good quality both are working i am satisfied
positive,Quality bhtreen ha sound bht acha ha Jo pangwaya tha same whi ha I referred 100 percent to buy this product.Thanku seller!
neutral,Quality is ok as per the price.
negative,bad shows for wearing
neutral,Same as shown in picture quality good but sole little bit not so comfortable otherwise itx good
positive,price or quality Ka liaz SA best running shoes Han 
positive,beautiful and classic item.
positive,Owsom product thanks daraz 
positive,"boht acha stuff hai..
size b proper hein in shirts k..
zabardast.
5 ⭐"
positive,The quality of Ginger was good and it was a lot of ginger.  I am happy to find fresh ginger I received. I always meet my requirement of fresh items to buy online from Daraz. Because Daraz is trusted platform.
negative,it takes 2 week to deliver a single product. very bad service
negative,poor packing by sellers
positive,I received my headphone 🎧 very good product most buy 😍 I like my head phone
neutral,The product delivered are not as advertised. The martini flavor was replaced by another one. Otherwise the products received are genuine and new with proper packing. Kindly ask the seller to update the listing as per stock available rather than sending product of their own choice.
positive,good quality as per Price
positive,G parcell mil gy pic nii lee thie may na Laga Lia hy aur bhot acha hy star thank u daraz
positive,working as advertised. Recommend
positive,same color and design which shown and shipping service is good thanks daraz
positive,I am really satisfied outstanding clothes bages thankx daraz and shop seller its osam💞👍
positive,Overall 💯 Satisfied and its Amazing Experience with the seller and Daraz. 👍
positive,"Same as shown in picture, very nice packaging and delivered on time very nice service."
negative,"bilkul b achy nahe Hain sound b bht he slow hai .... 
paisy zaya huwy ye kharid krrr"
positive,I ordered this controller to give it as a gift to my cousin on his birthday. I was shocked to see that it is in a custom color and he really liked it too.
positive,good quality and satisfied
positive,excellent quality. always good buying vegetables from daraz. highly recommended
neutral,got my parcel a few days back and it's kinda cute . I like it but it came really dusty also there is a tiny hole in the bottom other then that its nice
negative,"the seal is broken of the box. 
but all are in good condition with pretty packaging
and product also.Sound of pods is excellent.And with in the range of given date"
positive,"very good quality 
i am happy"
neutral,Masha allah bahot zabardast headphone hai but iska aagay wala tar patla hai Kya yeh kharab to nahi hoga?
neutral,product is good new pack 100% working but not support to T500
negative,very poor . too much disappointed
negative,"Damaged piece
Worthless"
positive,Received on time with full safety. Thanks Daraz and Seller.
positive,Nice product recommended to everyone
positive,works properly nice in quality...
negative,Very high price
positive,Good product. Quality is good. Reached on time. Satisfied with the seller.
positive,they are just woww 1000% recommended
positive,The vegetables were so fresh and very well packed 💓 and price is also less as compared to market
positive,wowww. its amazing. same as shown. better than air pods. high battery timing. more than 8 hours used. highly recommended. clear voice. more than 5 stars
positive,Excellent product. Cam be fixed in any table.
neutral,"just an average product it is not what I thought, low quality small size though received 11 and fulfilling the bear minimum criteria, three star"
positive,very good quality water
positive,it's my Second order.  Amazing👍😍🤩.  Highly recommended.  delivered on ⌚ time. 
positive,Received exactly what is shown in the picture. Delivered on time. There packaging is very good and there was no leak or damage to the product. Overall great experience.
positive,beautiful gift for kids
negative,The one I ordered was different the one I received it is really shameful and intentionally cheating need to be loyal with customers
neutral,color black nai tha us ka wesy bohat acha tha Mera parsel
negative,sir help device stops working after only. 18 days...
positive,MashaAllah quick service and very fresh potatoes thanks daraz n seller 
positive,"Handsfree properly working ,delivered on time .quality is good.."
negative,I am not satisfied with this shoes so I return it
positive,Received my mouse pad and am glad to see it’s the same as shown in pictures. Recommended :)
neutral,It is the same as it was seen in the picture but vrey samll size
positive,excellent quality product
positive,"Same as the picture! Very useful, perfect"
negative,i ordered black one they sent me totally change product .
positive,very awesome and very good quality I suggest this product to buy 👍
positive,it's a very nice product love this 
positive,Amazing 😍 quality same as expected inshallah will keep doing order soon high quality in reasonable price 
negative,size issue
positive,Perfect in sound :)
neutral,Packing was not good at all come little bit late But mouse is working well
positive,Superb sound quality 😍
positive,fresh and good 
positive,Nice! Delivery on time. reasonable price 👌
positive,Thanks Very nice fragrance & thanks 4 gift
neutral,I'm very happy to see this product. unfortunately it delivered late but I'm very satisfied with daraz service team as they resolve my delay problem within 24 hours
negative,Absolutely terrible. The material quality is almost close to paper. The bag tore from the zipper when I packed it full and moved it.
positive,received at my doorstep is good for me
positive,nice products good 💯
neutral,excellent glasses..though magnet is not powerful enough to settle automatically..but good in this price....seller is most co operative
positive,"it was great, excellent quality smooth mouse pad love it 😀 I recommend you to buy this!"
positive,zbrdast bht achi product hy quality wise 
positive,Good product and Good quality ... thank u daraz
positive,amazing 😍
positive,Seller response is so much good
positive,Copy handfree ha original Nahi ha original bol kr Copy de ha haram Ka Khana acha Lagta ha inko
positive,"really splendid by the fast delivery, and the staggering quality."
positive,"Miraculous product, works like charm, thank you so very much!"
positive,"excellent bubble rap packing, outstanding Product. 100% Recommended"
positive,very nice and warm. worth the price. I also got discount. so happy . advise for buyers to order 1 or 2 size bigger. as I ordered 4 to 5 yrs but it is bit smaller for my 4 yrs boy . even after washing they are fine. good quality
negative,"light on nhi ho rahi.
return karen please ya phir mujhe change kar k den."
negative,"There are two marks on one shoe.
I tried to clean it but two lines are there.
The seller is not recommended."
positive,amazing thanks
negative,"Cheap quality,  the plastic is very flimsy definitely not recommended "
negative,very bad quality ..not satisfied really bad experience...colour is also very dark 😞😞I must say I'll used it for cleaning the floor ...
positive,Excellent Working
positive,It's smell is really too good and long lasting. Miswak is also fresh. Thank you so much.
positive,Zabardast 9 rupee me Maza agya
positive,Thank u daraz bht Acha shoes h Jo order kya wahi Aaya☺️☺️
positive,"Alhamdulillah received
Quality good
sound good 
Price good"
positive,excellent and as real as shown in photo
negative,"low qualityshow something but send something quality is not good use one time loose their stich 
 disappointed ☹️"
negative,very bad product no result only waste of time and money recommend not to buy
positive,"They are good, the power bank works well.The audio
quality could have been improve and a little high. Other than that overall they are nice and the texture is good too. 🤍"
positive,"nice
10/10"
positive,awsm quality
negative,I open it looks fine use it..  3 din ka bad iska right speaker sy phati hoi awaz arhi ha agly bndy ko be issue hota h kiyn ka usy shoor jata ha mena 3 baar pucha is this original handfree or not or ya khaty original ha 480 Rp with delivery day ky be agar ya chz he apko leni ha tu not worthy return krwana chaa raha hun leken ab lagta ni ho leken ya review isi leya deya h ky next customer isko daikhy or sochy lena sy phly 1st n last purchase
negative,The holes in the product for soles hurt the soles while walking
neutral,Cary ribbon is weak. . but bag quality is good..
positive,bhut achi hai
positive,awesome as usual
positive,Product is overall good small in size and smell with be produced after 3 mints of use...... Recommended seller
positive,best cooking temperature meter
negative,Not very good at all
positive,My first order TWS I12 &i7s airpods _ with Super Sound & High Quality  Touch Sensors True Stereo Headphones
positive,"Good quality
Wrapped up is too much good 👍"
positive,Got the LED on time. Fast delivery and in perfect condition. Well packed.
negative,"size is not accurate , its written XL but actually it was large or Medium. fabric quality was also not good."
positive,Nice packaging. Arrived from overseas in a reasonable amount of time. Quite small for a 65 Watt charger. Have been using this to charge a macbook and no problems have been  encountered thus far. It does heat up quite a bit but so did my original macbook charger
positive,good quality everytime
positive,"It reached well, everything is working fine. It is really overwhelming and charming. Good item for gift. It came with a charging cable and remote control. With 1 hour charging, lamp can work for 8 to 12 hours. It makes us all very happy 😍 will shop again soon..."
positive,I am so satisfied bht hi achy potatoes hyn thanks daraz 
positive,Good taste wao I like it
positive,"Product is original and slightly used but in good condition at very reasonable price. I am happy with product. It was well packed and delivered in well mannered. I have not used it yet but overall looks good. Also, seller sent power cable with LED. Thanks to seller and daraz."
positive,It is a very good product that is easy to wear It is light weight weight thanks daraz thanks vendor I love u🥰🥰💯💯👍👍
positive,very large bottle..the quality is fantastic and low in price..recommended to buy
positive,Good quality product im so satisfied thnx daraz
positive,"m going to give 5 Stars 🌟✨I liked it very much specially the stuff it is very soft n comfortable n very light weighted .it feels so soft when wearing.n seller also snd the same clr I ordered thnku so much daraz, thanks seller ,seller was honest.recommended to all ..will order more from this shop ...in sha Allah.m so much happy 😊😍💗👌😘😘for my shopping with daraz overall experience was really great 👍.."
positive,it is a nice product. i recieved it in a single day. it works perfectly fine. i recommend the seller and product.
negative,g ye boht bykar ha. boht chota . voice bhe Clair nhe ATI. 
positive,"original product at reasonable price 
sound was perfect 
thanks seller"
positive,Build Quality is good too. Seller mentioned that blower is adjustable but I did not find any think to adjust. Other it is worth buying.
positive,i love it buhat acha product lekin  i prefer ÝÒu
positive,overall good experience and I would recommend it as also received it on a lower price
positive,packing was awesome.original product .fine material.great seller service. I am afraid but happy after receive my order. thanks Daraz. Bank Alfalah.
positive,"Alhamdulillah jesi dekhi wesi milli.
Pure bass pure voice exactly the same thing jo mujhe chahiye thee"
positive,good working amzing
positive,I really love this handsfree. Seller delivered it before the delivery time. Packaging needs improvement. But products quality is 100% good. Recommend seller.
positive,awesome product very nice good mat colour I am very satisfied
positive,"Great experience will find it much cheaper than market, enjoy the 11.11 sale, thanks daraz"
positive,"Nice packaging , fresh items except lady fingers. however, received after one day delay..... overall a good experience"
negative,shirt was not as good as showing in picture. quality was average.
neutral,good ✨ ........ but it should be better
negative,"Feeling totally betrayed, I was sent a way cheaper product. Don't know whether it was intentional or not but this is a huge error on their part."
positive,It's really beautiful thank you much for this Lovely lamp I will buy again 🥰 thank you seller you are amazing and very polite ☺️
negative,what a waste of money and time.. 1st thing i noticed its without the cap and whooaa!! the bottle was almost empty.. seriously is this from Daraz Mall?
negative,mera airports 1 theek tha or 1 kharab
positive,I bought this cable with HDMi to spidif. packaging
positive,great price and experience 
positive,Excellent for muscle streching. Also Good quality. positive
neutral,I received the parcel timely and in good condition but the LED strip doesnt work.
negative,very bad qulity made up of jersey material Free fire written with a very bad leather pasted with glue Ia again. saying very bad quality
positive,bhai bohat achi chiaz hai 👍 delivery b time pe mil gaya zabardast. 
negative,"The medical equipment I ordered from Daraz was poorly functioning. It did not perform as expected, and I had to seek an alternative solution elsewhere. It's disheartening to receive a faulty product, especially when it's essential for one's health."
positive,"Package received on time and its my second order for the same stickers i found it good, well packed and delivered on time thanks to Both Daraz and Dealer"
negative,Not as per description
positive,Same as shown in picture ❤️ lovely seeleves. Over all quality is best one of the best customer services…❤️😍 will shop again soon and also waiting for my voucher…🙄 because I’m giving my honest review ❤️
positive,"genuine items as described , comes with alcohol wipes which is a plus. Great service once again."
positive,fresh and in good packing 
negative,"This fragrance had a very short shelf life. After a few months, it started to develop an unpleasant, rancid smell. It was disappointing to invest in a fragrance only to have it go bad so quickly. I expected better quality and longevity."
positive,I really like your BTS T-shirt and i love it and it is also really smooth 😻 
negative,Very very low quality just waste of money sub saman dalty hi damage hogay hain 
negative,I ordered in Black color and even paid about 100 more for black but received white. This is irresponsibilty from seller.
negative,"Ordered 2 of them, The connector wasnt working on one of them"
positive,delivered same product 
negative,size chota hai or jo ordr kiya wo clr nhi aya blue clr ordr kiya bheja black yh hal hai first time ordr diya tha daraz py
negative,However inconsistent performance. Sometimes does very well sometimes doesnt. My room isnt so big.
negative,this was made of cards and paper really a third class quality wallet even the stitching was not completed it was a big scam
positive,"looking good ,on Time delivery,thanks for your approach ,,Good luck Daraz"
neutral,"plz guid kr dyn k ye stars lgany kese hen or ye on kese ho gy plzz guid kr dyn
"
negative,really bad quality. as soon as i took it out of the box it stopped working. completely useless
positive,Very useful product
positive,nice 🙂 I really like the shirts thanks daraz
neutral,yeah that's product is amazing but prices some high
positive,size me Thora chota hai Lekin achi product beji hai thanx
positive,me game khelta hon us hisab se gloves ki quality bohotnachi smooth he bohot earphone apni price ko justify kar raha he ab dekhte kitne din chalti he
negative,"the bolts are of such size that the bar is not fixing on the wall. overall quality is bad, the weld has started to give away after 3-4 time use. I have hanged the horizontal bar with a rope coz bolts are unable to hold the bar in place even with multiple drills in wall. not recommended"
positive,Very good sound. Loud 
positive,good quality earphones.
neutral,well packed but it has light scratches on its glass frame and i guess price is high for this product it should be a little bit low. other than that its a good product.
positive,it's as same as shown in picture.
positive,Bought these for my dads new kitchen and they are great for dishes and cute for decor too!
positive,"excellent working, highly recommended 👍"
positive,Item was delivered within stipulated time. Item is as described.
positive,"Excellent Product Same as shown in the photos,👍🏻👍🏻👍🏻 Quality of Product is too good, Best Products, Staff is Also😍😍 Also Recommend it to all Packing is good❤️❤️❤️Size Is Perfect"
positive,Best experience. The product is same as shown in the picture. It is an item much needed at home. Highly recommended to everyone. Thanks daraz🙂
positive,amazing product fine quality use for may little purposes
positive,Bht achy Hy thank you daraz
negative,expensive in this price could b buy from market in 300.plz dont buy customers.its realy expensive in that price
positive,The product was awesome. It was excellently packaged. Thank you seller for sending the genuine product.
positive,"Good Quality product, highly recommended and also delivered before the expected time."
neutral,"Blower is working good, vacuum is useless. Net sent was also broken."
positive,As it is nh lakin Acha tha.. M happy to buy it
positive,zbrdast stars ...dhoop me rakhy thy charge ho gaiye raat ko kmry me bht achy lgty.
negative,Waste of money.they are chea
positive,Quality is fine. Received in time.
positive,fastest delivery ever on daraz (just a single day). double thumbs-up to the company
negative,what is this nonsense
neutral,no issues with seller but DARAZ is not good
neutral,Not bad in this price.
positive,Amazing👍😍
positive,same as shown in picture 100% satisfied 10/10 rating
positive,Marvelous
positive,Comfortable shoes 
positive,Handfree Bohat Achi Hai Maine Bht dair baad Review diya h lakin Handfree abhi tak mere istamal m h Thank you. 
negative,There are dents on the product and products have lost it shape. i specifically requested supplier to make good packing to avoid tarvel hazards. paking was open too. i tried to upload photos in review but couldnot manage might be system is busy. Will return it back. Donot recommend this .
neutral,IT IS ORIGINAL MOYU CUBE BUT IS NOT FULLY  MAGNETIC. ONLY ITS SPRING WHICH ARE IN CENTRE ARE MAGNETIC . ITS TURNING IS GOOD
positive,nice... Jo order kiya wohii milaa.. thanks dataz
positive,It's very good I am really satisfied....
negative,i punch my Order for i18s But the Product i get was the packing of i14s 😂 And Within the box the buds was i12s but Overall The product was Good Fully satisfied Thanks Daraz. Good work delivery on Time.👍💞💖
positive,great 👍✅
positive,original product thanks Daraz 
negative,Made of cheap quality
negative,"Sir remote nhi chl raha light ka
Aj hi deliver ki ha kuch bta skty hai ap "
positive,"Good 👍👍👍 shirt
Thanks drazz "
positive,Timely delivered in excellent condition and with good packing.
negative,its a very weak product. it stoped in any little thick liquid.
negative,1 inch k star ko bra dkha k loot rhy..bht he gtiaa quality ki chezain the...shame on u
positive,Good quality and working product .
negative,"They have sent me wrong size, I ordered 33 and 27 inches. And they sent me 34.5 and 28.5 inches. There's a stitched cover on it so I cant even resize it."
negative,This do not looks to be cocoa butter what I have ordered. Original picture shows it is yellow which is it's natural color. Color of supplied product is white with no smell and powdery texture.
negative,Not good...
positive,these bangles are just awesome and beautiful...so colorful and light weight...easy to carry...100/100
neutral,The thread is thinner than expected. The quantity is also less. Haven't used yet but elasticity seems ok.
neutral,Decent build quality but wire is low quality. i think its okay in this price tag
positive,10/10 just amazing as it is in the pictures.
positive,fresh fresh 
negative,"I received a Aiwa 40 Piece Toolkit, but it is not the original Aiwa 40 Piece Toolkit. This product is of poor quality. The tool kit's box is broken because it is made of low-quality materials. Despite the fact that the advertisements claim it is an original Aiwa Toolkit, it is not an original Aiwa Toolkit."
